ID_Cliente,Evasao,Genero,Eh_Idoso,Tem_Parceiro,Tem_Dependentes,Tempo_Contrato,Servico_Telefone,Linhas_Multiplas,Servico_Internet,Adiconal_Seguranca,Adicional_Backup,Adiconal_Protecao,Adicional_Suporte,Streaming_TV,Streaming_Filmes,Tipo_Contrato,Valor_Dia,Conta_Digital,Metodo_Pagamento,Valor_Mensal,Valor_Total
0019-GFNTW,Não,Feminino,Não,Não,Não,56,Não,Sem serviço de telefone,DSL,Sim,Sim,Sim,Sim,Não,Não,Bianual,1.5,Não,Tranferência bancária (automática),45.05,2560.1
0020-INWCK,Não,Feminino,Não,Sim,Sim,71,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Não,Sim,Bianual,3.19,Sim,Cartão de crédito (automática),95.75,6849.4
0020-JDNXP,Não,Feminino,Não,Sim,Sim,34,Não,Sem serviço de telefone,DSL,Sim,Não,Sim,Sim,Sim,Sim,Anual,2.04,Não,Cheque,61.25,1993.2
0021-IKXGC,Não,Feminino,Sim,Não,Não,1,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mensal,2.4,Sim,Cheque eletrônico,72.1,72.1
0022-TCJCI,Sim,Masculino,Sim,Não,Não,45,Sim,Não,DSL,Sim,Não,Sim,Não,Não,Sim,Anual,2.09,Não,Cartão de crédito (automática),62.7,2791.5
0023-HGHWL,Sim,Masculino,Sim,Não,Não,1,Não,Sem serviço de telefone,DSL,Não,Não,Não,Não,Não,Não,Mensal,0.84,Sim,Cheque eletrônico,25.1,25.1
0023-UYUPN,Não,Feminino,Sim,Sim,Não,50,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,0.84,Não,Cheque eletrônico,25.2,1306.3
0023-XUOPT,Sim,Feminino,Não,Sim,Não,13,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Não,Mensal,3.14,Não,Cheque eletrônico,94.1,1215.6
0027-KWYKW,Não,Feminino,Não,Sim,Sim,23,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Não,Mensal,2.79,Sim,Cheque eletrônico,83.75,1849.95
0030-FNXPP,Não,Feminino,Não,Não,Não,3,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.66,Não,Cheque,19.85,57.2
0031-PVLZI,Sim,Feminino,Não,Sim,Sim,4,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.68,Não,Cheque,20.35,76.35
0032-PGELS,Sim,Feminino,Não,Sim,Sim,1,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Não,Não,Não,Mensal,1.02,Não,Tranferência bancária (automática),30.5,30.5
0036-IHMOT,Não,Feminino,Não,Sim,Sim,55,Sim,Não,Fibra Óptica,Não,Sim,Sim,Sim,Sim,Sim,Anual,3.46,Sim,Tranferência bancária (automática),103.7,5656.75
0040-HALCW,Não,Masculino,Não,Sim,Sim,54,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,0.68,Não,Cartão de crédito (automática),20.4,1090.6
0042-JVWOJ,Não,Masculino,Não,Não,Não,26,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,0.65,Sim,Tranferência bancária (automática),19.6,471.85
0042-RLHYP,Não,Feminino,Não,Sim,Sim,69,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,0.66,Não,Tranferência bancária (automática),19.7,1396.9
0048-LUMLS,Não,Masculino,Não,Sim,Sim,37,Sim,Não,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Anual,3.04,Não,Cartão de crédito (automática),91.2,3247.55
0048-PIHNL,Não,Feminino,Não,Sim,Não,49,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,0.68,Não,Tranferência bancária (automática),20.45,900.9
0052-DCKON,Não,Masculino,Não,Sim,Não,66,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,3.86,Não,Tranferência bancária (automática),115.8,7942.15
0052-YNYOT,Não,Feminino,Não,Não,Não,67,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,0.68,Não,Cheque eletrônico,20.55,1343.4
0056-EPFBG,Não,Masculino,Não,Sim,Sim,20,Não,Sem serviço de telefone,DSL,Sim,Não,Sim,Sim,Não,Não,Bianual,1.31,Sim,Cartão de crédito (automática),39.4,825.4
0057-QBUQH,Não,Feminino,Não,Não,Sim,43,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,0.84,Sim,Cheque eletrônico,25.1,1070.15
0058-EVZWM,Não,Feminino,Não,Sim,Não,55,Sim,Sim,Fibra Óptica,Sim,Não,Não,Não,Sim,Não,Mensal,2.99,Sim,Tranferência bancária (automática),89.8,4959.6
0060-FUALY,Não,Feminino,Não,Sim,Não,59,Sim,Sim,Fibra Óptica,Sim,Sim,Não,Não,Sim,Não,Mensal,3.16,Sim,Cheque eletrônico,94.75,5597.65
0064-SUDOG,Não,Feminino,Não,Sim,Sim,12,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,0.68,Não,Tranferência bancária (automática),20.3,224.5
0064-YIJGF,Não,Masculino,Não,Sim,Sim,27,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mensal,2.52,Sim,Tranferência bancária (automática),75.75,1929.0
0067-DKWBL,Sim,Masculino,Sim,Não,Não,2,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,1.64,Sim,Cheque eletrônico,49.25,91.1
0068-FIGTF,Não,Feminino,Não,Não,Não,27,Sim,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,Anual,2.61,Não,Cheque,78.2,2078.95
0071-NDAFP,Não,Masculino,Não,Sim,Sim,25,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,0.85,Não,Cartão de crédito (automática),25.5,630.6
0074-HDKDG,Não,Masculino,Não,Sim,Sim,25,Sim,Não,DSL,Sim,Sim,Sim,Não,Não,Não,Anual,2.05,Sim,Tranferência bancária (automática),61.6,1611.0
0076-LVEPS,Não,Masculino,Não,Não,Sim,29,Não,Sem serviço de telefone,DSL,Sim,Sim,Sim,Sim,Não,Não,Mensal,1.5,Sim,Cheque,45.0,1242.45
0078-XZMHT,Não,Masculino,Não,Sim,Não,72,Sim,Sim,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bianual,2.84,Sim,Tranferência bancária (automática),85.15,6316.2
0080-EMYVY,Não,Feminino,Não,Não,Não,14,Sim,Não,DSL,Não,Sim,Não,Não,Não,Não,Anual,1.72,Não,Cartão de crédito (automática),51.45,727.85
0080-OROZO,Não,Feminino,Não,Não,Não,35,Sim,Não,Fibra Óptica,Não,Não,Sim,Sim,Sim,Sim,Anual,3.31,Sim,Cheque eletrônico,99.25,3532.0
0082-LDZUE,Não,Masculino,Não,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,1.48,Sim,Cheque,44.3,44.3
0082-OQIQY,Não,Masculino,Não,Não,Não,29,Sim,Não,Fibra Óptica,Não,Não,Não,Sim,Sim,Sim,Mensal,3.14,Sim,Cheque eletrônico,94.2,2607.6
0083-PIVIK,Não,Masculino,Não,Não,Não,64,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Não,Anual,2.71,Não,Cheque eletrônico,81.25,5567.55
0089-IIQKO,Não,Feminino,Não,Sim,Sim,39,Sim,Sim,Fibra Óptica,Não,Não,Não,Sim,Sim,Sim,Mensal,3.33,Sim,Cartão de crédito (automática),99.95,3767.4
0093-EXYQL,Não,Feminino,Sim,Não,Não,40,Sim,Não,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Mensal,3.05,Sim,Cheque eletrônico,91.55,3673.6
0093-XWZFY,Sim,Masculino,Não,Não,Não,40,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,3.48,Sim,Cartão de crédito (automática),104.5,4036.85
0094-OIFMO,Sim,Feminino,Sim,Não,Não,11,Sim,Não,Fibra Óptica,Não,Sim,Não,Não,Sim,Sim,Mensal,3.17,Sim,Cheque eletrônico,95.0,1120.3
0096-BXERS,Não,Feminino,Não,Sim,Não,6,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Mensal,1.68,Não,Cheque eletrônico,50.35,314.55
0096-FCPUF,Não,Masculino,Não,Não,Não,30,Sim,Sim,DSL,Sim,Não,Não,Não,Não,Sim,Mensal,2.15,Sim,Cheque,64.5,1888.45
0098-BOWSO,Não,Masculino,Não,Não,Não,27,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.65,Sim,Cheque eletrônico,19.4,529.8
0100-DUVFC,Não,Masculino,Sim,Sim,Não,70,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Anual,3.49,Sim,Cheque eletrônico,104.8,7308.95
0103-CSITQ,Não,Feminino,Não,Sim,Não,57,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Sim,Sim,Sim,Anual,3.65,Sim,Tranferência bancária (automática),109.4,6252.7
0104-PPXDV,Não,Masculino,Não,Sim,Não,58,Sim,Não,DSL,Não,Não,Sim,Não,Não,Não,Anual,1.68,Não,Cartão de crédito (automática),50.3,2878.55
0106-GHRQR,Não,Masculino,Não,Não,Não,16,Sim,Sim,DSL,Não,Sim,Sim,Não,Não,Sim,Mensal,2.38,Sim,Tranferência bancária (automática),71.4,1212.1
0106-UGRDO,Não,Feminino,Não,Sim,Não,69,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,3.87,Sim,Cheque eletrônico,116.0,8182.85
0107-WESLM,Sim,Masculino,Não,Não,Não,1,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.66,Sim,Cheque eletrônico,19.85,19.85
0107-YHINA,Sim,Masculino,Não,Não,Sim,1,Sim,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Sim,Mensal,3.32,Sim,Cheque eletrônico,99.75,99.75
0111-KLBQG,Não,Masculino,Sim,Sim,Sim,32,Sim,Não,Fibra Óptica,Não,Sim,Não,Não,Sim,Sim,Mensal,3.13,Sim,Cheque,93.95,2861.45
0112-QAWRZ,Não,Masculino,Não,Sim,Sim,16,Sim,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Não,Mensal,3.03,Sim,Tranferência bancária (automática),90.8,1442.2
0112-QWPNC,Sim,Masculino,Não,Sim,Não,49,Sim,Sim,DSL,Sim,Não,Sim,Sim,Sim,Sim,Anual,2.81,Não,Cheque eletrônico,84.35,4059.35
0114-IGABW,Não,Feminino,Não,Sim,Não,71,Não,Sem serviço de telefone,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bianual,1.94,Não,Tranferência bancária (automática),58.25,4145.9
0114-PEGZZ,Não,Feminino,Não,Não,Não,33,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,3.58,Não,Cheque eletrônico,107.55,3645.5
0114-RSRRW,Não,Feminino,Não,Sim,Não,10,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.66,Sim,Tranferência bancária (automática),19.95,187.75
0115-TFERT,Sim,Masculino,Não,Sim,Não,21,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Sim,Sim,Sim,Mensal,3.71,Sim,Cheque eletrônico,111.2,2317.1
0117-LFRMW,Sim,Masculino,Não,Sim,Sim,37,Não,Sem serviço de telefone,DSL,Sim,Sim,Sim,Não,Não,Não,Mensal,1.34,Não,Tranferência bancária (automática),40.2,1448.8
0118-JPNOY,Não,Feminino,Sim,Não,Não,26,Sim,Não,Fibra Óptica,Sim,Não,Não,Não,Sim,Não,Mensal,2.86,Sim,Cartão de crédito (automática),85.8,2193.65
0121-SNYRK,Não,Masculino,Não,Não,Não,50,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Não,Anual,1.18,Sim,Cheque,35.4,1748.9
0122-OAHPZ,Sim,Feminino,Não,Não,Não,7,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mensal,2.46,Sim,Cheque eletrônico,73.85,511.25
0123-CRBRT,Não,Feminino,Não,Sim,Sim,61,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,2.94,Não,Cheque,88.1,5526.75
0125-LZQXK,Sim,Masculino,Não,Não,Não,15,Sim,Não,Fibra Óptica,Não,Não,Sim,Sim,Sim,Sim,Mensal,3.38,Sim,Cheque eletrônico,101.35,1553.95
0128-MKWSG,Não,Feminino,Não,Não,Sim,26,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Sim,Mensal,1.53,Não,Cheque,45.8,1147.0
0129-KPTWJ,Não,Masculino,Não,Sim,Não,72,Sim,Não,Fibra Óptica,Não,Não,Sim,Não,Sim,Sim,Mensal,3.16,Sim,Cheque eletrônico,94.65,6747.35
0129-QMPDR,Não,Masculino,Não,Sim,Sim,44,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,0.68,Sim,Tranferência bancária (automática),20.5,865.05
0130-SXOUN,Não,Masculino,Não,Não,Não,66,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Não,Sim,Mensal,2.98,Não,Cartão de crédito (automática),89.4,5976.9
0133-BMFZO,Sim,Feminino,Não,Não,Não,2,Sim,Não,Fibra Óptica,Sim,Sim,Não,Sim,Não,Não,Mensal,2.88,Sim,Cheque eletrônico,86.25,181.65
0134-XWXCE,Não,Feminino,Sim,Não,Não,44,Sim,Não,DSL,Não,Não,Sim,Sim,Sim,Sim,Anual,2.49,Não,Tranferência bancária (automática),74.85,3268.05
0135-NMXAP,Sim,Feminino,Não,Não,Não,12,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Não,Mensal,2.99,Sim,Tranferência bancária (automática),89.75,1052.4
0136-IFMYD,Não,Masculino,Sim,Sim,Não,69,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Sim,Sim,Sim,Bianual,3.66,Sim,Cheque eletrônico,109.95,7634.25
0137-OCGAB,Sim,Feminino,Não,Não,Não,1,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Não,Não,Mensal,2.67,Sim,Cheque,80.2,80.2
0137-UDEUO,Sim,Feminino,Não,Não,Não,3,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.66,Não,Cheque,19.85,63.75
0139-IVFJG,Não,Feminino,Não,Sim,Não,2,Sim,Não,Fibra Óptica,Sim,Sim,Não,Não,Sim,Não,Mensal,3.01,Não,Cheque eletrônico,90.35,190.5
0141-YEAYS,Não,Feminino,Sim,Não,Não,27,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Não,Não,Mensal,2.88,Sim,Tranferência bancária (automática),86.45,2401.05
0142-GVYSN,Não,Masculino,Não,Não,Não,26,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.68,Sim,Cheque eletrônico,20.3,511.25
0147-ESWWR,Não,Feminino,Sim,Sim,Não,39,Sim,Sim,Fibra Óptica,Não,Não,Não,Sim,Sim,Sim,Mensal,3.38,Sim,Cheque eletrônico,101.25,3949.15
0148-DCDOS,Sim,Masculino,Não,Não,Não,25,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Mensal,3.16,Sim,Tranferência bancária (automática),94.7,2362.1
0151-ONTOV,Sim,Feminino,Não,Não,Não,1,Sim,Não,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mensal,2.36,Não,Cheque,70.9,70.9
0156-FVPTA,Sim,Masculino,Não,Sim,Não,22,Sim,Não,DSL,Sim,Não,Não,Sim,Não,Não,Mensal,1.81,Sim,Cheque eletrônico,54.2,1152.7
0164-APGRB,Não,Feminino,Não,Não,Não,72,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,3.83,Sim,Cheque eletrônico,114.9,8496.7
0164-XAIRP,Não,Feminino,Não,Não,Não,24,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,0.65,Sim,Tranferência bancária (automática),19.55,470.2
0168-XZKBB,Não,Feminino,Não,Sim,Não,19,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Não,Mensal,2.9,Sim,Cheque eletrônico,86.85,1564.4
0174-QRVVY,Não,Masculino,Não,Sim,Sim,71,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,0.85,Não,Cartão de crédito (automática),25.35,1847.55
0177-PXBAT,Não,Masculino,Sim,Sim,Não,33,Sim,Sim,Fibra Óptica,Sim,Não,Sim,Sim,Sim,Sim,Mensal,3.66,Sim,Tranferência bancária (automática),109.9,3694.7
0178-CIIKR,Não,Feminino,Não,Não,Não,3,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.66,Não,Cheque,19.95,58.0
0178-SZBHO,Não,Masculino,Não,Sim,Sim,47,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Não,Mensal,2.91,Não,Cheque eletrônico,87.2,4017.45
0181-RITDD,Não,Masculino,Não,Sim,Sim,62,Sim,Não,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,3.6,Não,Cheque,108.15,6825.65
0186-CAERR,Não,Masculino,Não,Não,Não,71,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,3.88,Sim,Tranferência bancária (automática),116.3,8309.55
0187-QSXOE,Não,Masculino,Sim,Sim,Não,7,Sim,Não,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Mensal,2.97,Sim,Cheque eletrônico,89.0,605.45
0187-WZNAB,Não,Feminino,Não,Sim,Sim,27,Sim,Não,Fibra Óptica,Sim,Não,Não,Não,Não,Não,Mensal,2.48,Não,Cheque,74.4,1972.35
0188-GWFLE,Não,Masculino,Não,Não,Não,2,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.67,Não,Cheque,20.05,33.7
0191-EQUUH,Não,Feminino,Não,Não,Sim,25,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Não,Bianual,1.17,Não,Tranferência bancária (automática),35.05,844.45
0191-ZHSKZ,Não,Masculino,Sim,Não,Não,30,Sim,Não,DSL,Sim,Sim,Não,Não,Sim,Sim,Mensal,2.49,Sim,Cheque eletrônico,74.75,2111.3
0193-ESZXP,Sim,Feminino,Sim,Sim,Não,58,Sim,Não,Fibra Óptica,Sim,Sim,Não,Sim,Sim,Sim,Anual,3.52,Sim,Cartão de crédito (automática),105.5,6205.5
0195-IESCP,Sim,Masculino,Não,Sim,Não,10,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Sim,Mensal,2.84,Sim,Cheque eletrônico,85.25,855.3
0196-JTUQI,Não,Feminino,Não,Não,Não,9,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mensal,2.51,Sim,Cartão de crédito (automática),75.2,633.85
0196-VULGZ,Sim,Feminino,Sim,Sim,Não,6,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Sim,Mensal,2.81,Sim,Cheque eletrônico,84.35,474.9
0197-PNKNK,Não,Feminino,Não,Sim,Sim,69,Sim,Sim,Fibra Óptica,Sim,Não,Sim,Não,Não,Não,Anual,2.82,Não,Tranferência bancária (automática),84.45,5848.6
0201-MIBOL,Não,Feminino,Sim,Não,Não,66,Sim,Sim,Fibra Óptica,Sim,Não,Não,Não,Sim,Sim,Bianual,3.41,Sim,Tranferência bancária (automática),102.4,6471.85
0201-OAMXR,Sim,Feminino,Não,Não,Não,70,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,3.85,Não,Cartão de crédito (automática),115.55,8127.6
0203-HHYIJ,Sim,Masculino,Não,Não,Não,25,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,0.84,Não,Tranferência bancária (automática),25.3,676.35
0206-OYVOC,Não,Feminino,Não,Sim,Sim,46,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,0.64,Sim,Cheque,19.25,864.2
0206-TBWLC,Não,Feminino,Não,Sim,Não,54,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,3.82,Sim,Cheque,114.65,6049.5
0207-MDKNV,Sim,Feminino,Não,Não,Não,15,Sim,Não,Fibra Óptica,Sim,Não,Sim,Sim,Sim,Sim,Mensal,3.5,Não,Cheque eletrônico,105.1,1582.75
0208-BPQEJ,Não,Feminino,Não,Sim,Sim,12,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.65,Não,Tranferência bancária (automática),19.4,198.1
0212-ISBBF,Não,Feminino,Não,Não,Não,22,Não,Sem serviço de telefone,DSL,Não,Sim,Não,Não,Sim,Sim,Mensal,1.68,Sim,Cheque eletrônico,50.35,1098.85
0214-JHPFW,Não,Feminino,Não,Sim,Não,70,Não,Sem serviço de telefone,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bianual,1.93,Não,Tranferência bancária (automática),57.8,4039.3
0215-BQKGS,Não,Masculino,Não,Não,Não,30,Sim,Não,Fibra Óptica,Sim,Sim,Sim,Não,Não,Não,Mensal,2.81,Sim,Cartão de crédito (automática),84.3,2438.6
0218-QNVAS,Não,Masculino,Não,Sim,Sim,71,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Sim,Anual,3.35,Não,Tranferência bancária (automática),100.55,7113.75
0219-QAERP,Não,Masculino,Não,Sim,Não,30,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,0.66,Não,Cartão de crédito (automática),19.8,576.65
0219-YTZUE,Sim,Masculino,Não,Sim,Sim,4,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Não,Não,Mensal,2.83,Sim,Tranferência bancária (automática),84.8,371.9
0220-EBGCE,Sim,Masculino,Não,Não,Não,2,Sim,Não,Fibra Óptica,Não,Não,Sim,Não,Não,Sim,Mensal,2.86,Sim,Cheque eletrônico,85.85,167.3
0221-NAUXK,Não,Masculino,Não,Não,Sim,10,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,0.66,Sim,Tranferência bancária (automática),19.95,219.5
0221-WMXNQ,Não,Masculino,Sim,Não,Não,4,Sim,Não,Fibra Óptica,Sim,Não,Não,Não,Não,Não,Mensal,2.51,Não,Cheque eletrônico,75.35,273.4
0222-CNVPT,Não,Masculino,Sim,Não,Não,52,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Não,Sim,Sim,Mensal,1.63,Sim,Cartão de crédito (automática),48.8,2555.05
