,ID_Cliente,Evasao,Genero,Eh_Idoso,Tem_Parceiro,Tem_Dependentes,Tempo_Contrato,Servico_Telefone,Linhas_Multiplas,Servico_Internet,Adiconal_Seguranca,Adicional_Backup,Adiconal_Protecao,Adicional_Suporte,Streaming_TV,Streaming_Filmes,Tipo_Contrato,Valor_Dia,Conta_Digital,Metodo_Pagamento,Valor_Mensal,Valor_Total
41,0068-FIGTF,Não,Feminino,Não,Não,Não,27,Sim,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,Anual,2.61,Não,Cheque,78.2,2078.95
42,0071-NDAFP,Não,Masculino,Não,Sim,Sim,25,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,0.85,Não,Cartão de crédito (automática),25.5,630.6
43,0074-HDKDG,Não,Masculino,Não,Sim,Sim,25,Sim,Não,DSL,Sim,Sim,Sim,Não,Não,Não,Anual,2.05,Sim,Tranferência bancária (automática),61.6,1611.0
44,0076-LVEPS,Não,Masculino,Não,Não,Sim,29,Não,Sem serviço de telefone,DSL,Sim,Sim,Sim,Sim,Não,Não,Mensal,1.5,Sim,Cheque,45.0,1242.45
45,0078-XZMHT,Não,Masculino,Não,Sim,Não,72,Sim,Sim,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bianual,2.84,Sim,Tranferência bancária (automática),85.15,6316.2
46,0080-EMYVY,Não,Feminino,Não,Não,Não,14,Sim,Não,DSL,Não,Sim,Não,Não,Não,Não,Anual,1.72,Não,Cartão de crédito (automática),51.45,727.85
47,0080-OROZO,Não,Feminino,Não,Não,Não,35,Sim,Não,Fibra Óptica,Não,Não,Sim,Sim,Sim,Sim,Anual,3.31,Sim,Cheque eletrônico,99.25,3532.0
48,0082-LDZUE,Não,Masculino,Não,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,1.48,Sim,Cheque,44.3,44.3
49,0082-OQIQY,Não,Masculino,Não,Não,Não,29,Sim,Não,Fibra Óptica,Não,Não,Não,Sim,Sim,Sim,Mensal,3.14,Sim,Cheque eletrônico,94.2,2607.6
50,0083-PIVIK,Não,Masculino,Não,Não,Não,64,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Não,Anual,2.71,Não,Cheque eletrônico,81.25,5567.55
51,0089-IIQKO,Não,Feminino,Não,Sim,Sim,39,Sim,Sim,Fibra Óptica,Não,Não,Não,Sim,Sim,Sim,Mensal,3.33,Sim,Cartão de crédito (automática),99.95,3767.4
52,0093-EXYQL,Não,Feminino,Sim,Não,Não,40,Sim,Não,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Mensal,3.05,Sim,Cheque eletrônico,91.55,3673.6
53,0093-XWZFY,Sim,Masculino,Não,Não,Não,40,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,3.48,Sim,Cartão de crédito (automática),104.5,4036.85
54,0094-OIFMO,Sim,Feminino,Sim,Não,Não,11,Sim,Não,Fibra Óptica,Não,Sim,Não,Não,Sim,Sim,Mensal,3.17,Sim,Cheque eletrônico,95.0,1120.3
55,0096-BXERS,Não,Feminino,Não,Sim,Não,6,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Mensal,1.68,Não,Cheque eletrônico,50.35,314.55
56,0096-FCPUF,Não,Masculino,Não,Não,Não,30,Sim,Sim,DSL,Sim,Não,Não,Não,Não,Sim,Mensal,2.15,Sim,Cheque,64.5,1888.45
57,0098-BOWSO,Não,Masculino,Não,Não,Não,27,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.65,Sim,Cheque eletrônico,19.4,529.8
58,0100-DUVFC,Não,Masculino,Sim,Sim,Não,70,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Anual,3.49,Sim,Cheque eletrônico,104.8,7308.95
59,0103-CSITQ,Não,Feminino,Não,Sim,Não,57,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Sim,Sim,Sim,Anual,3.65,Sim,Tranferência bancária (automática),109.4,6252.7
60,0104-PPXDV,Não,Masculino,Não,Sim,Não,58,Sim,Não,DSL,Não,Não,Sim,Não,Não,Não,Anual,1.68,Não,Cartão de crédito (automática),50.3,2878.55
61,0106-GHRQR,Não,Masculino,Não,Não,Não,16,Sim,Sim,DSL,Não,Sim,Sim,Não,Não,Sim,Mensal,2.38,Sim,Tranferência bancária (automática),71.4,1212.1
62,0106-UGRDO,Não,Feminino,Não,Sim,Não,69,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,3.87,Sim,Cheque eletrônico,116.0,8182.85
63,0107-WESLM,Sim,Masculino,Não,Não,Não,1,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.66,Sim,Cheque eletrônico,19.85,19.85
64,0107-YHINA,Sim,Masculino,Não,Não,Sim,1,Sim,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Sim,Mensal,3.32,Sim,Cheque eletrônico,99.75,99.75
65,0111-KLBQG,Não,Masculino,Sim,Sim,Sim,32,Sim,Não,Fibra Óptica,Não,Sim,Não,Não,Sim,Sim,Mensal,3.13,Sim,Cheque,93.95,2861.45
66,0112-QAWRZ,Não,Masculino,Não,Sim,Sim,16,Sim,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Não,Mensal,3.03,Sim,Tranferência bancária (automática),90.8,1442.2
67,0112-QWPNC,Sim,Masculino,Não,Sim,Não,49,Sim,Sim,DSL,Sim,Não,Sim,Sim,Sim,Sim,Anual,2.81,Não,Cheque eletrônico,84.35,4059.35
68,0114-IGABW,Não,Feminino,Não,Sim,Não,71,Não,Sem serviço de telefone,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bianual,1.94,Não,Tranferência bancária (automática),58.25,4145.9
69,0114-PEGZZ,Não,Feminino,Não,Não,Não,33,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,3.58,Não,Cheque eletrônico,107.55,3645.5
70,0114-RSRRW,Não,Feminino,Não,Sim,Não,10,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.66,Sim,Tranferência bancária (automática),19.95,187.75
71,0115-TFERT,Sim,Masculino,Não,Sim,Não,21,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Sim,Sim,Sim,Mensal,3.71,Sim,Cheque eletrônico,111.2,2317.1
72,0117-LFRMW,Sim,Masculino,Não,Sim,Sim,37,Não,Sem serviço de telefone,DSL,Sim,Sim,Sim,Não,Não,Não,Mensal,1.34,Não,Tranferência bancária (automática),40.2,1448.8
73,0118-JPNOY,Não,Feminino,Sim,Não,Não,26,Sim,Não,Fibra Óptica,Sim,Não,Não,Não,Sim,Não,Mensal,2.86,Sim,Cartão de crédito (automática),85.8,2193.65
74,0121-SNYRK,Não,Masculino,Não,Não,Não,50,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Não,Anual,1.18,Sim,Cheque,35.4,1748.9
75,0122-OAHPZ,Sim,Feminino,Não,Não,Não,7,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mensal,2.46,Sim,Cheque eletrônico,73.85,511.25
76,0123-CRBRT,Não,Feminino,Não,Sim,Sim,61,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,2.94,Não,Cheque,88.1,5526.75
77,0125-LZQXK,Sim,Masculino,Não,Não,Não,15,Sim,Não,Fibra Óptica,Não,Não,Sim,Sim,Sim,Sim,Mensal,3.38,Sim,Cheque eletrônico,101.35,1553.95
78,0128-MKWSG,Não,Feminino,Não,Não,Sim,26,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Sim,Mensal,1.53,Não,Cheque,45.8,1147.0
79,0129-KPTWJ,Não,Masculino,Não,Sim,Não,72,Sim,Não,Fibra Óptica,Não,Não,Sim,Não,Sim,Sim,Mensal,3.16,Sim,Cheque eletrônico,94.65,6747.35
80,0129-QMPDR,Não,Masculino,Não,Sim,Sim,44,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,0.68,Sim,Tranferência bancária (automática),20.5,865.05
81,0130-SXOUN,Não,Masculino,Não,Não,Não,66,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Não,Sim,Mensal,2.98,Não,Cartão de crédito (automática),89.4,5976.9
82,0133-BMFZO,Sim,Feminino,Não,Não,Não,2,Sim,Não,Fibra Óptica,Sim,Sim,Não,Sim,Não,Não,Mensal,2.88,Sim,Cheque eletrônico,86.25,181.65
83,0134-XWXCE,Não,Feminino,Sim,Não,Não,44,Sim,Não,DSL,Não,Não,Sim,Sim,Sim,Sim,Anual,2.49,Não,Tranferência bancária (automática),74.85,3268.05
84,0135-NMXAP,Sim,Feminino,Não,Não,Não,12,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Não,Mensal,2.99,Sim,Tranferência bancária (automática),89.75,1052.4
85,0136-IFMYD,Não,Masculino,Sim,Sim,Não,69,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Sim,Sim,Sim,Bianual,3.66,Sim,Cheque eletrônico,109.95,7634.25
86,0137-OCGAB,Sim,Feminino,Não,Não,Não,1,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Não,Não,Mensal,2.67,Sim,Cheque,80.2,80.2
87,0137-UDEUO,Sim,Feminino,Não,Não,Não,3,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.66,Não,Cheque,19.85,63.75
88,0139-IVFJG,Não,Feminino,Não,Sim,Não,2,Sim,Não,Fibra Óptica,Sim,Sim,Não,Não,Sim,Não,Mensal,3.01,Não,Cheque eletrônico,90.35,190.5
89,0141-YEAYS,Não,Feminino,Sim,Não,Não,27,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Não,Não,Mensal,2.88,Sim,Tranferência bancária (automática),86.45,2401.05
90,0142-GVYSN,Não,Masculino,Não,Não,Não,26,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.68,Sim,Cheque eletrônico,20.3,511.25
91,0147-ESWWR,Não,Feminino,Sim,Sim,Não,39,Sim,Sim,Fibra Óptica,Não,Não,Não,Sim,Sim,Sim,Mensal,3.38,Sim,Cheque eletrônico,101.25,3949.15
92,0148-DCDOS,Sim,Masculino,Não,Não,Não,25,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Mensal,3.16,Sim,Tranferência bancária (automática),94.7,2362.1
93,0151-ONTOV,Sim,Feminino,Não,Não,Não,1,Sim,Não,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mensal,2.36,Não,Cheque,70.9,70.9
94,0156-FVPTA,Sim,Masculino,Não,Sim,Não,22,Sim,Não,DSL,Sim,Não,Não,Sim,Não,Não,Mensal,1.81,Sim,Cheque eletrônico,54.2,1152.7
95,0164-APGRB,Não,Feminino,Não,Não,Não,72,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,3.83,Sim,Cheque eletrônico,114.9,8496.7
96,0164-XAIRP,Não,Feminino,Não,Não,Não,24,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,0.65,Sim,Tranferência bancária (automática),19.55,470.2
97,0168-XZKBB,Não,Feminino,Não,Sim,Não,19,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Não,Mensal,2.9,Sim,Cheque eletrônico,86.85,1564.4
98,0174-QRVVY,Não,Masculino,Não,Sim,Sim,71,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,0.85,Não,Cartão de crédito (automática),25.35,1847.55
99,0177-PXBAT,Não,Masculino,Sim,Sim,Não,33,Sim,Sim,Fibra Óptica,Sim,Não,Sim,Sim,Sim,Sim,Mensal,3.66,Sim,Tranferência bancária (automática),109.9,3694.7
100,0178-CIIKR,Não,Feminino,Não,Não,Não,3,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.66,Não,Cheque,19.95,58.0
101,0178-SZBHO,Não,Masculino,Não,Sim,Sim,47,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Não,Mensal,2.91,Não,Cheque eletrônico,87.2,4017.45
102,0181-RITDD,Não,Masculino,Não,Sim,Sim,62,Sim,Não,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,3.6,Não,Cheque,108.15,6825.65
103,0186-CAERR,Não,Masculino,Não,Não,Não,71,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,3.88,Sim,Tranferência bancária (automática),116.3,8309.55
104,0187-QSXOE,Não,Masculino,Sim,Sim,Não,7,Sim,Não,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Mensal,2.97,Sim,Cheque eletrônico,89.0,605.45
105,0187-WZNAB,Não,Feminino,Não,Sim,Sim,27,Sim,Não,Fibra Óptica,Sim,Não,Não,Não,Não,Não,Mensal,2.48,Não,Cheque,74.4,1972.35
106,0188-GWFLE,Não,Masculino,Não,Não,Não,2,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.67,Não,Cheque,20.05,33.7
107,0191-EQUUH,Não,Feminino,Não,Não,Sim,25,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Não,Bianual,1.17,Não,Tranferência bancária (automática),35.05,844.45
108,0191-ZHSKZ,Não,Masculino,Sim,Não,Não,30,Sim,Não,DSL,Sim,Sim,Não,Não,Sim,Sim,Mensal,2.49,Sim,Cheque eletrônico,74.75,2111.3
109,0193-ESZXP,Sim,Feminino,Sim,Sim,Não,58,Sim,Não,Fibra Óptica,Sim,Sim,Não,Sim,Sim,Sim,Anual,3.52,Sim,Cartão de crédito (automática),105.5,6205.5
110,0195-IESCP,Sim,Masculino,Não,Sim,Não,10,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Sim,Mensal,2.84,Sim,Cheque eletrônico,85.25,855.3
111,0196-JTUQI,Não,Feminino,Não,Não,Não,9,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mensal,2.51,Sim,Cartão de crédito (automática),75.2,633.85
112,0196-VULGZ,Sim,Feminino,Sim,Sim,Não,6,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Sim,Mensal,2.81,Sim,Cheque eletrônico,84.35,474.9
113,0197-PNKNK,Não,Feminino,Não,Sim,Sim,69,Sim,Sim,Fibra Óptica,Sim,Não,Sim,Não,Não,Não,Anual,2.82,Não,Tranferência bancária (automática),84.45,5848.6
114,0201-MIBOL,Não,Feminino,Sim,Não,Não,66,Sim,Sim,Fibra Óptica,Sim,Não,Não,Não,Sim,Sim,Bianual,3.41,Sim,Tranferência bancária (automática),102.4,6471.85
115,0201-OAMXR,Sim,Feminino,Não,Não,Não,70,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,3.85,Não,Cartão de crédito (automática),115.55,8127.6
116,0203-HHYIJ,Sim,Masculino,Não,Não,Não,25,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,0.84,Não,Tranferência bancária (automática),25.3,676.35
117,0206-OYVOC,Não,Feminino,Não,Sim,Sim,46,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,0.64,Sim,Cheque,19.25,864.2
118,0206-TBWLC,Não,Feminino,Não,Sim,Não,54,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,3.82,Sim,Cheque,114.65,6049.5
119,0207-MDKNV,Sim,Feminino,Não,Não,Não,15,Sim,Não,Fibra Óptica,Sim,Não,Sim,Sim,Sim,Sim,Mensal,3.5,Não,Cheque eletrônico,105.1,1582.75
120,0208-BPQEJ,Não,Feminino,Não,Sim,Sim,12,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.65,Não,Tranferência bancária (automática),19.4,198.1
121,0212-ISBBF,Não,Feminino,Não,Não,Não,22,Não,Sem serviço de telefone,DSL,Não,Sim,Não,Não,Sim,Sim,Mensal,1.68,Sim,Cheque eletrônico,50.35,1098.85
122,0214-JHPFW,Não,Feminino,Não,Sim,Não,70,Não,Sem serviço de telefone,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bianual,1.93,Não,Tranferência bancária (automática),57.8,4039.3
123,0215-BQKGS,Não,Masculino,Não,Não,Não,30,Sim,Não,Fibra Óptica,Sim,Sim,Sim,Não,Não,Não,Mensal,2.81,Sim,Cartão de crédito (automática),84.3,2438.6
124,0218-QNVAS,Não,Masculino,Não,Sim,Sim,71,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Sim,Anual,3.35,Não,Tranferência bancária (automática),100.55,7113.75
125,0219-QAERP,Não,Masculino,Não,Sim,Não,30,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,0.66,Não,Cartão de crédito (automática),19.8,576.65
126,0219-YTZUE,Sim,Masculino,Não,Sim,Sim,4,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Não,Não,Mensal,2.83,Sim,Tranferência bancária (automática),84.8,371.9
127,0220-EBGCE,Sim,Masculino,Não,Não,Não,2,Sim,Não,Fibra Óptica,Não,Não,Sim,Não,Não,Sim,Mensal,2.86,Sim,Cheque eletrônico,85.85,167.3
